,image_name,Subset,image_url,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation
0,b9fce6e1d399290f,train,https://c8.staticflickr.com/8/7532/16030696327_2bd3fb1615_o.jpg,https://www.flickr.com/photos/mangakamaidenphotography/16030696327,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/mangakamaidenphotography/,MangakaMaiden Photography,Traitors,946211,XyxEH7R8prgnU7iK0fUeQw==,https://c7.staticflickr.com/8/7532/16030696327_3f578f158b_z.jpg,0.0
1,04ebdcef386f13eb,train,https://c4.staticflickr.com/4/3577/3492326820_63d2823ba0_o.jpg,https://www.flickr.com/photos/cmartin82/3492326820,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/cmartin82/,Cortney Martin,Chicha Libre,2592317,16AgWmNJY4Cdd0ZReOaAEQ==,https://c7.staticflickr.com/4/3577/3492326820_45de354f72_z.jpg,0.0
2,90e4c72eb2d67e36,train,https://farm7.staticflickr.com/8777/18261084691_f30f2577e2_o.jpg,https://www.flickr.com/photos/clender/18261084691,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/clender/,Carl Lender,Southern Stue at Saddle &quot;N&quot; Spurs Saloon - Las Vegas,3300347,+BcQHJvx+Kp7kSMVH6lu8g==,https://c8.staticflickr.com/9/8777/18261084691_f49601dd80_z.jpg,0.0
3,4ebe0ada2c7e98af,train,https://c8.staticflickr.com/4/3902/15214263468_66387f4998_o.jpg,https://www.flickr.com/photos/brucedrummond/15214263468/,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/brucedrummond/,Bruce Drummond,IMG_2229,5097162,LdwsSVJiWsGNBup4PO0GnA==,https://c5.staticflickr.com/4/3902/15214263468_29191b6bec_z.jpg,0.0
4,a52a26fc77d201de,train,https://c7.staticflickr.com/9/8162/7165507736_4bf1857922_o.jpg,https://www.flickr.com/photos/youharman/7165507736,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/youharman/,herman yahaya,Hafiz Jeffer,734897,rcsGgN0RolwlIpm6MqcwBQ==,https://c1.staticflickr.com/9/8162/7165507736_fa579fc1c2_z.jpg,0.0
5,e46b77606965fc9d,train,https://c6.staticflickr.com/9/8703/16817089425_1ba0530725_o.jpg,https://www.flickr.com/photos/pahudson/16817089425,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/pahudson/,Paul Hudson,Label Mates (Sat 14th): Royal Limp,1071569,DXn7hzqimo9SfsXo3rn+hA==,https://c2.staticflickr.com/9/8703/16817089425_41edae89c6_z.jpg,0.0
6,574b4f6c60df439b,train,https://c4.staticflickr.com/1/96/244587222_51f3d85aac_o.jpg,https://www.flickr.com/photos/netooliveira/244587222,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/netooliveira/,Neto Oliveira,Peter & Nina,55916,hPvdRNyxURiksyLPr9MG7g==,,
7,cb0e4903f8089f82,train,https://farm3.staticflickr.com/5518/9155185870_5e65006306_o.jpg,https://www.flickr.com/photos/dougandme/9155185870,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/dougandme/,Doug Anderson,2013 Telluride Bluegrass Festival,6049341,bmXcXyiItz3AgTsZYo6Rqw==,https://c7.staticflickr.com/6/5518/9155185870_36f20d6009_z.jpg,0.0
8,0bdf4a69ab58f1a0,train,https://farm1.staticflickr.com/33/45879539_cd6fee82b5_o.jpg,https://www.flickr.com/photos/kathmandu/45879539,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/kathmandu/,S Pakhrin,Thames Festival,621216,qipFCWfYU3GjKUTEl1p+VA==,https://c4.staticflickr.com/1/33/45879539_cd6fee82b5_z.jpg,0.0
9,1de0200cb9db0020,train,https://farm1.staticflickr.com/4149/4984215077_4bf4c880d4_o.jpg,https://www.flickr.com/photos/intangible/4984215077,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/intangible/,IntangibleArts,Borborite Big Baby Bitch Fag Birthday Band,1970893,BLPdDJVNXy1ypacNgo9onA==,https://c1.staticflickr.com/5/4149/4984215077_a6d8da3c0c_z.jpg,0.0
