,Unnamed: 0,FileName,XMin,XMax,YMin,YMax,ClassName,img_id
0,0,001_1e01464f57_o.jpg,0.2375,0.781667,0.163329,0.8629540000000001,Mobile phone,4033ca266eb672ad
1,1,001_707ddd4502_o.jpg,0.381875,0.689375,0.248333,0.9775,Person,180862c70643936d
2,2,001_707ddd4502_o.jpg,0.36375,0.9025,0.7425,0.999167,Guitar,180862c70643936d
3,3,001_bb6f106be7_o.jpg,0.185,0.5625,0.334586,0.99812,Person,6db6541c7cf7f545
4,4,001_bb6f106be7_o.jpg,0.1725,0.6525,0.727444,0.99812,Guitar,6db6541c7cf7f545
5,5,002_169c990716_o.jpg,0.510625,0.9275,0.046279,0.911978,Person,e1e3b1a8502748d9
6,6,002_169c990716_o.jpg,0.036875,0.439375,0.324864,0.955535,Person,e1e3b1a8502748d9
7,7,002_169c990716_o.jpg,0.515,0.965625,0.345735,0.778584,Guitar,e1e3b1a8502748d9
8,8,002_2dba386ed2_o.jpg,0.345,0.57375,0.31916700000000003,0.6725,Person,37970de5ae0d8dbf
9,9,002_374b1d99e2_o.jpg,0.448125,0.778125,0.545285,0.781513,Guitar,21948f56a51c8049
10,10,002_374b1d99e2_o.jpg,0.13,0.38125,0.266106,0.999066,Person,21948f56a51c8049
11,11,002_374b1d99e2_o.jpg,0.409375,0.711875,0.222222,0.999066,Person,21948f56a51c8049
12,12,002_374b1d99e2_o.jpg,0.246875,0.47125,0.184874,0.999066,Guitar,21948f56a51c8049
13,13,002_374b1d99e2_o.jpg,0.665,0.8275,0.365079,0.8225959999999999,Guitar,21948f56a51c8049
14,14,002_9385fd1b9b_o.jpg,0.118164,0.90625,0.316176,0.85,Car,cd4da27d2103c83e
15,15,002_a9f5497162_o.jpg,0.279687,0.364062,0.657812,0.8,Person,6c1ed68d60d989b3
16,16,002_d02f3a9d41_o.jpg,0.44875,0.495,0.11933699999999997,0.258564,Person,dcc08bf9169a8527
17,17,002_d02f3a9d41_o.jpg,0.18375,0.356875,0.205525,0.979006,Mobile phone,dcc08bf9169a8527
18,18,003_2ec835249f_o.jpg,0.16875,0.86625,0.03,0.891667,Person,8c1f9e74f81ea483
19,19,003_5e51d1aa01_o.jpg,0.30625,0.55125,0.272727,0.6897840000000001,Person,c2e7c60a9a003c60
20,20,004_dc8cf9225b_o.jpg,0.05,0.388125,0.795833,0.999167,Car,69fa3fb96e0b1f7c
21,21,004_dc8cf9225b_o.jpg,0.9325,0.999375,0.815833,0.900833,Car,69fa3fb96e0b1f7c
22,22,005_0427a35775_o.jpg,0.490625,0.68375,0.538333,0.75,Car,5909c4ab29662b93
23,23,005_0427a35775_o.jpg,0.169375,0.506875,0.058333,0.944167,Person,5909c4ab29662b93
24,24,005_0427a35775_o.jpg,0.0575,0.175,0.526667,0.7125,Car,5909c4ab29662b93
25,25,005_0a0549450f_o.jpg,0.323641,0.420986,0.208145,0.41629,Mobile phone,dd3f168ac519e03e
26,26,005_0a0549450f_o.jpg,0.045512,0.212389,0.8235290000000001,0.968326,Mobile phone,dd3f168ac519e03e
27,27,005_0a0549450f_o.jpg,0.175727,0.225032,0.8536950000000001,0.974359,Mobile phone,dd3f168ac519e03e
28,28,005_0a0549450f_o.jpg,0.214918,0.255373,0.856712,0.975867,Mobile phone,dd3f168ac519e03e
